"Id","Designator","Package","Quantity","Designation"
1,"SW1,SW4,SW2,SW3","SKSCLBE010",4,"BTN"
2,"U1","ESP32-WROOM",1,"ESP-32S"
3,"C3,C18,C21,C22,C14,C15","C_0603",6,"100nF"
4,"C5,C1,C2,C7,C8,C9,C10,C11,C12,C13","C_0603",10,"1uF"
5,"C16,C17,C4,C6","C_0603",4,"4.7uF"
6,"C20,C19","C_0603",2,"10uF"
7,"D4","D_SOD-123",1,"B5819"
8,"D5","LED_0603",1,"LED"
9,"D6","D_SOD-123F",1,"1N4001"
10,"J3","1.25T-2PWT (Molex 532610271)",1,"JST Micro"
11,"Q3","SOT-23",1,"CJ2301"
12,"Q4","SOT-23",1,"S8050"
13,"R1,R2,R4,R7,R13,R15,R3,R5","R_0603",8,"10K"
14,"R9,R8","R_0603",2,"4.7K"
15,"R10,R11","R_0603",2,"1M"
16,"R12","R_0603",1,"100K"
17,"R14,R16","R_0603",2,"1K"
18,"U2","SOT-23-5",1,"RT9080-33GJ5"
19,"U4","LGA-12_2x2mm_Pitch0.5mm",1,"BMA423"
20,"U5","SOT-23-5",1,"TP4054"
21,"U6","SOIC-8_3.9x4.9mm_Pitch1.27mm",1,"DS3231MZ"
22,"D1,D2,D3","D_SOD-123",3,"MBR0530"
23,"J1","24_Pins_0.5mm_Pitch_ZIF_Connector_UP",1,"24_Pins_0.5mm_Pitch_ZIF_Connector"
24,"J2","USB_Micro-B",1,"USB_U-F-M5DD-Y-L"
25,"L1","MPH201214",1,"10uH 1A"
26,"Q1","SOT-323_SC-70",1,"Si1308EDL"
27,"Q2","SOT-363_SC-70-6",1,"UMH3N"
28,"R6","R_0603",1,"3"
29,"U3","QFN-24-1EP_4x4mm_Pitch0.5mm",1,"CP2104"
31,"M1","Pager Motor2",1,"Vibration_Motor"
